movntps, FUNCTION, (movntpsInstr), SSE/AVX Instruction, SSE
movntsd, FUNCTION, (movntsdInstr), SSE/AVX Instruction, SSE
movntss, FUNCTION, (movntssInstr), SSE/AVX Instruction, SSE
movq, FUNCTION, (movqInstr), SSE/AVX Instruction, SSE
movsd, FUNCTION, (movsdInstr), SSE/AVX Instruction, SSE
movshdup, FUNCTION, (movshdupInstr), SSE/AVX Instruction, SSE
movsldup, FUNCTION, (movsldupInstr), SSE/AVX Instruction, SSE
movss, FUNCTION, (movssInstr), SSE/AVX Instruction, SSE
movupd, FUNCTION, (movupdInstr), SSE/AVX Instruction, SSE
movups, FUNCTION, (movupsInstr), SSE/AVX Instruction, SSE
mpsadbw, FUNCTION, (mpsadbwInstr), SSE/AVX Instruction, SSE
mulpd, FUNCTION, (mulpdInstr), SSE/AVX Instruction, SSE
mulps, FUNCTION, (mulpsInstr), SSE/AVX Instruction, SSE
mulsd, FUNCTION, (mulsdInstr), SSE/AVX Instruction, SSE
mulss, FUNCTION, (mulssInstr), SSE/AVX Instruction, SSE
orpd, FUNCTION, (orpdInstr), SSE/AVX Instruction, SSE
orps, FUNCTION, (orpsInstr), SSE/AVX Instruction, SSE
pabsb, FUNCTION, (pabsbInstr), SSE/AVX Instruction, SSE
pabsd, FUNCTION, (pabsdInstr), SSE/AVX Instruction, SSE
pabsw, FUNCTION, (pabswInstr), SSE/AVX Instruction, SSE
packssdw, FUNCTION, (packssdwInstr), SSE/AVX Instruction, SSE
packsswb, FUNCTION, (packsswbInstr), SSE/AVX Instruction, SSE
packusdw, FUNCTION, (packusdwInstr), SSE/AVX Instruction, SSE
packuswb, FUNCTION, (packuswbInstr), SSE/AVX Instruction, SSE
paddb, FUNCTION, (paddbInstr), SSE/AVX Instruction, SSE
paddd, FUNCTION, (padddInstr), SSE/AVX Instruction, SSE
paddq, FUNCTION, (paddqInstr), SSE/AVX Instruction, SSE
